name,frame,ra,dec,band_idx,wavelength_old,receiver_old,cfg_A_old,cfg_B_old,cfg_C_old,cfg_D_old,uvmin_kl_old,uvmax_kl_old,wavelength_new,receiver_new,cfg_A_new,cfg_B_new,cfg_C_new,cfg_D_new,uvmin_kl_new,uvmax_kl_new
1646-224,J2000,16h46m04.7335s,"-22d27'59.903""",0,90cm,P,X,X,S,S,3.0,,90cm,P,X,X,S,S,,3.0
1646-224,J2000,16h46m04.7335s,"-22d27'59.903""",1,20cm,L,X,X,X,S,3.0,,20cm,L,X,X,X,S,,3.0
1651+014,J2000,16h51m03.662382s,"01d29'23.458780""",0,20cm,L,S,S,S,X,6.0,,20cm,L,S,S,S,X,6.0,
1653+397,J2000,16h53m52.216688s,"39d45'36.608900""",0,20cm,L,S,S,S,S,75.0,,20cm,L,S,S,S,S,,75.0
1653+397,J2000,16h53m52.216688s,"39d45'36.608900""",1,6cm,C,S,S,S,S,200.0,,6cm,C,S,S,S,S,,200.0
1653+397,J2000,16h53m52.216688s,"39d45'36.608900""",2,3.7cm,X,S,P,P,P,300.0,,3.7cm,X,S,P,P,P,,300.0
1653+397,J2000,16h53m52.216688s,"39d45'36.608900""",3,2cm,U,X,S,P,P,300.0,,2cm,U,X,S,P,P,,300.0
1657+481,J2000,16h57m46.878947s,"48d08'33.041080""",1,3.7cm,X,X,X,S,P,20.0,,3.7cm,X,X,X,S,P,,20.0
1657+570,J2000,16h57m20.708915s,"57d05'53.503730""",1,6cm,C,S,X,X,X,200.0,,6cm,C,S,X,X,X,200.0,
1657+570,J2000,16h57m20.708915s,"57d05'53.503730""",2,3.7cm,X,S,X,X,X,200.0,,3.7cm,X,S,X,X,X,200.0,
1658+076,J2000,16h58m09.011458s,"07d41'27.540720""",1,6cm,C,P,P,S,X,30.0,,6cm,C,P,P,S,X,30.0,
1658+076,J2000,16h58m09.011458s,"07d41'27.540720""",2,3.7cm,X,P,P,P,S,30.0,,3.7cm,X,P,P,P,S,30.0,
1658+347,J2000,16h58m01.419204s,"34d43'28.402400""",1,6cm,C,S,S,X,X,40.0,,6cm,C,S,S,X,X,40.0,
1658+347,J2000,16h58m01.419204s,"34d43'28.402400""",2,3.7cm,X,S,S,S,X,40.0,,3.7cm,X,S,S,S,X,40.0,
1658+476,J2000,16h58m02.779610s,"47d37'49.231340""",0,20cm,L,S,X,X,X,50.0,,20cm,L,S,X,X,X,50.0,
1658-076,J2000,16h58m44.0610s,"-07d39'17.629""",0,20cm,L,S,S,X,X,40.0,,20cm,L,S,S,X,X,40.0,
1700+685,J2000,17h00m09.292901s,"68d30'06.962420""",0,20cm,L,W,X,X,X,30.0,,20cm,L,W,X,X,X,30.0,
1701-299,J2000,17h01m09.7599s,"-29d54'39.229""",0,90cm,P,X,S,S,S,5.0,,90cm,P,X,S,S,S,,5.0
1701-299,J2000,17h01m09.7599s,"-29d54'39.229""",1,20cm,L,X,X,S,S,6.0,,20cm,L,X,X,S,S,,6.0
1707+018,J2000,17h07m34.415277s,"01d48'45.699230""",0,20cm,L,S,S,X,X,10.0,,20cm,L,S,S,X,X,10.0,
