name,ra,dec,band_guess,band_code,size_gb,date_utc,gain_calibrator_name,gain_onsource_min,gain_array_config,access_url
0323+055,3:23:20.261600,+5:34:11.890900,L,L,9.612122,2020-06-28,J0323+0534,10.18916665809229,B,https://data.nrao.edu/portal/#/productViewer/20A-251.sb38356988.eb38413552.59028.77487047453
0325+226,3:25:36.814375,+22:24:00.365180,C,C L S X,62.491958,2024-11-11,J0409-1238,9.904166663764045,A,https://data.nrao.edu/portal/#/productViewer/24B-448.sb47197859.eb47230834.60625.309898541665
0329-239,3:29:54.075537,-23:57:08.773300,X,X,34.178577,2017-09-28,J0329-2357,7.230000001145527,B,https://data.nrao.edu/portal/#/productViewer/17B-144.sb34407803.eb34534796.58024.35945729166
0329+279,3:29:57.669413,+27:56:15.499140,L,L,4.756409,2018-09-20,J0329+2756,7.89416664862074,D,https://data.nrao.edu/portal/#/productViewer/18A-146.sb35428989.eb35613105.58381.37726202546
0334-401,3:34:13.654494,-40:08:25.397980,C,C S,37.831031,2022-04-19,J0334-4008,11.966666666558012,A,https://data.nrao.edu/portal/#/productViewer/22A-230.sb41491781.eb41774361.59688.917057997685
0336+323,3:36:30.107599,+32:18:29.342390,L,L,6.981677,2020-08-30,J0336+3218,12.964166672900319,B,https://data.nrao.edu/portal/#/productViewer/20A-235.sb38622794.eb38624965.59091.54055288194
0340-213,3:40:35.607864,-21:19:31.172230,L,L,28.51347,2022-06-23,J0340-2119,7.978333330247551,A,https://data.nrao.edu/portal/#/productViewer/22A-428.sb41176956.eb41880038.59753.56495479167
0348-278,3:48:38.144561,-27:49:13.565300,X,Q X,16.529755,2021-08-17,J0348-2749,7.980000029783696,C,https://data.nrao.edu/portal/#/productViewer/21A-036.sb39613345.eb40042388.59443.490272083334
0349+461,3:49:18.741557,+46:09:59.658150,C,X,15.205819,2023-02-01,J2355+4950,6.481666682520881,B,https://data.nrao.edu/portal/#/productViewer/23A-002.sb43089347.eb43588720.59976.035739687504
0358+561,3:58:30.179300,+56:06:44.493000,X,C X,38.764146,2017-09-07,J0358+5606,5.734166671754792,B,https://data.nrao.edu/portal/#/productViewer/17B-310.sb34053512.eb34348045.58003.52665141204
0359+509,3:59:29.747262,+50:57:50.161510,L,L,4.343498,2017-04-03,J0359+5057,3.4900000132620335,D,https://data.nrao.edu/portal/#/productViewer/17A-388.sb33206553.eb33639886.57846.806479861116
0402-317,4:02:21.266027,-31:47:25.945580,L,C S,29.79415,2018-01-29,J0402-3147,7.895000008866191,B,https://data.nrao.edu/portal/#/productViewer/18A-199.sb34773340.eb34962569.58147.010660451386
0403+260,4:03:05.586048,+26:00:01.502740,L,L,7.054725,2022-06-06,J0403+2600,9.640833354787901,A,https://data.nrao.edu/portal/#/productViewer/22A-041.sb41834770.eb41839337.59736.590703229165
0405-131,4:05:34.003401,-13:08:13.691050,C,C,7.2344,2018-11-29,J0405-1308,8.974983327789232,C,https://data.nrao.edu/portal/#/productViewer/18B-126.sb35699350.eb35954556.58451.10570836806
0409-179,4:09:06.700000,-17:57:10.039000,L,L,10.672258,2017-08-24,J0409-1757,11.966666677035391,C,https://data.nrao.edu/portal/#/productViewer/17A-332.sb33757064.eb34200163.57989.42082625
0409+122,4:09:22.008740,+12:17:39.847500,L,S,17.127085,2024-12-01,J0409+1217,8.974999986821786,A,https://data.nrao.edu/portal/#/productViewer/24B-418.sb47304112.eb47329826.60645.13034002315
0410+769,4:10:45.605700,+76:56:45.301000,L,L,1.498171,2017-03-28,J1206+6413,4.65416667284444,D,https://data.nrao.edu/portal/#/productViewer/17A-396_sb33611387_1_1_007.57840.0830209375
0414+343,4:14:37.255748,+34:18:51.207380,L,L,17.812692,2023-04-29,J0414+3418,8.311666668159887,B,https://data.nrao.edu/portal/#/productViewer/23A-221.sb43107748.eb43832923.60063.75538043982
